environment_type,rank_within_environment,condition_id,strain,design_axis,environment_objective_score,final_ethanol_g_L,final_co2_g_L,retained_co2_4h_g_L,co2_4h_g_L,final_fermentable_sugar_g_L,final_carbohydrate_g_L,total_carbohydrate_consumed_g_L,total_carbohydrate_conversion_fraction,ethanol_yield_per_total_carbohydrate_consumed_g_g,final_pH,max_stress,mean_activity,dominant_failure_mode
beer_wort,1,BEER_ale_like_ale_warm_standard_wort_low_o2,ale_like,beer_style_x_wort_x_oxygen_x_strain:ale_warm_standard_wort_low_o2,54.20034532214124,49.177679561645,51.6386560497182,0.007330372450972468,0.8266941630804081,7.079577501138822e-12,4.00000000000708,105.99999999999292,0.9636363636362993,0.463940373223097,4.8984765512903605,0.13421341027733422,0.11737160990746474,completed
beer_wort,2,BEER_ale_like_ale_cool_standard_wort_low_o2,ale_like,beer_style_x_wort_x_oxygen_x_strain:ale_cool_standard_wort_low_o2,54.179299273464906,49.12371218430971,51.613337312048834,0.007330314643955273,0.8265274166180536,7.131769522925106e-12,4.000000000007132,105.99999999999287,0.9636363636362988,0.4634312470218209,4.898452125049995,0.13421341027733422,0.11717531855818461,completed
beer_wort,3,BEER_lager_like_lager_cool_standard_wort_low_o2,lager_like,beer_style_x_wort_x_oxygen_x_strain:lager_cool_standard_wort_low_o2,54.16941575837028,49.04337049853057,51.57564468115956,0.0053775216747646345,0.6147259398891161,1.5377648503207151e-06,4.000001537764851,105.99999846223515,0.9636363496566832,0.4626733133020125,4.898415766199409,0.10530746864614568,0.16655279067878395,completed
beer_wort,4,BEER_stress_tolerant_ale_warm_standard_wort_low_o2,stress_tolerant,beer_style_x_wort_x_oxygen_x_strain:ale_warm_standard_wort_low_o2,54.15426969797462,49.17835546193088,51.638973147633365,0.00644212932087369,0.7307653835485772,1.0687954364879817e-11,4.000000000010688,105.99999999998931,0.9636363636362665,0.4639467496409041,4.898476857210234,0.14304826784754807,0.12636755302841488,completed
beer_wort,5,BEER_ale_like_ale_warm_standard_wort_aerated_pitch,ale_like,beer_style_x_wort_x_oxygen_x_strain:ale_warm_standard_wort_aerated_pitch,53.522061460202906,47.43844309270453,50.82269511060148,0.0073759689063738225,0.8229443295471176,7.2118791571212715e-12,4.000000000007212,105.99999999999278,0.963636363636298,0.447532482006677,4.897689353352361,0.13421341027733422,0.10928985094887726,completed
bread_dough,1,BREAD_baker_like_standard_sugar_30C,baker_like,bread_temp_x_sugar_x_strain:30.0_standard_sugar,7.105578590414916,11.62610369507589,12.530390863575846,2.6887370748818733,6.6320761370903725,3.92118647076673,123.69696996781731,26.30303003218269,0.1753535335478846,0.44200625102320684,5.54115257411067,0.024853082838850155,0.5484767453026326,proof_sugar_depleted
bread_dough,2,BREAD_baker_like_low_sugar_30C,baker_like,bread_temp_x_sugar_x_strain:30.0_low_sugar,6.918800776878731,6.704656629555669,7.235226676734663,2.603286788073436,6.52712621462078,0.0029507774604838138,129.77483628685124,15.22516371314876,0.10500112905619835,0.440366800375709,5.56598160952708,0.018853082838850153,0.36871563514199446,proof_sugar_depleted
bread_dough,3,BREAD_baker_like_sweet_dough_30C,baker_like,bread_temp_x_sugar_x_strain:30.0_sweet_dough,6.397828552208196,11.33155332344506,12.213797786917869,2.4320178200477574,6.004477465665748,37.58078840826703,137.364905518454,25.63509448154599,0.1572705182916932,0.4420328285352074,5.542635681797286,0.03805308283885015,0.5401087867833932,proof_residual_sugar_expected
bread_dough,4,BREAD_baker_like_low_sugar_35C,baker_like,bread_temp_x_sugar_x_strain:35.0_low_sugar,5.439468274134577,6.77537772698623,7.277816898562167,2.098847312241574,5.232102525478967,0.004485223786596956,129.73030489447322,15.269695105526779,0.10530824210708123,0.44371401525456267,5.565926265272193,0.07802145363007916,0.3725127900147008,proof_sugar_depleted
bread_dough,5,BREAD_baker_like_standard_sugar_35C,baker_like,bread_temp_x_sugar_x_strain:35.0_standard_sugar,5.391998466136962,10.44174523735807,11.210220200573298,2.088398623122529,5.17630934921514,6.793940336707702,126.52480546471365,23.47519453528635,0.156501296901909,0.4447990930027325,5.54754054429569,0.08402145363007915,0.5144138122592264,proof_sugar_depleted
